User_id,Password,Role
rajesh.banerjee@sjsu.edu,abc123,student
deepa.raman@sjsu.edu,xyz789,student
sam.chakraborty@sjsu.edu,lmn456,student
naren.kumar@sjsu.edu,pqr321,student
heena.kulkarni@sjsu.edu,mno654,student
lokesh.patra@sjsu.edu,stu987,student
pranav.mehta@sjsu.edu,def111,student
akshay.sehgal@sjsu.edu,ghi222,student
sabina.bedi@sjsu.edu,jkl333,student
roshan.bedi@sjsu.edu,qwe444,student
lakshmi.ahuja@sjsu.edu,zxc555,student
leela.nanda@sjsu.edu,asd666,student
kishore.naidu@sjsu.edu,qaz777,professor
paresh.bose@sjsu.edu,wsx888,professor
sania.reddy@sjsu.edu,edc999,professor
swati.malhotra@sjsu.edu,rfv000,professor
asha.joshi@sjsu.edu,tgb123,professor
yeshu.fernandes@sjsu.edu,yhn234,student
krish.kumar@sjsu.edu,ujm345,student

